NAME                                         |KOD|

Афганистан                                   |004|

WER                                          |133|

Албания                                      |008|

Антарктида                                   |010|

Алжир                                        |012|

Американское Самоа                           |016|

Андорра                                      |020|

Ангола                                       |024|

Антигуа и Барбуда                            |028|

Азербайджан                                  |031|

Аргентина                                    |032|

Австралия                                    |036|

Австрия                                      |040|

Багамы                                       |044|

Бахрейн                                      |048|

Бангладеш                                    |050|

Армения                                      |051|

Барбадос                                     |052|

Бельгия                                      |056|

Бермуды                                      |060|

Бутан                                        |064|

Боливия                                      |068|

Босния и Герцеговина                         |070|

Ботсвана                                     |072|

Остров Буве                                  |074|

Бразилия                                     |076|

Белиз                                        |084|

Британская территория в Индийском океане     |086|

Соломоновы острова                           |090|

Виргинские острова, Британские               |092|

Бруней-Даруссалам                            |096|

Болгария                                     |100|

Мьянма                                       |104|

Бурунди                                      |108|

Беларусь                                     |112|

Камбоджа                                     |116|

Камерун                                      |120|

Канада                                       |124|

Кабо-Верде                                   |132|

Острова Кайман                               |136|

Центрально-Африканская республика            |140|

Шри-Ланка                                    |144|

Чад                                          |148|

Чили                                         |152|

Китай                                        |156|

Тайвань (Китай)                              |158|

Остров Рождества                             |162|

Кокосовые (Килинг) острова                   |166|

Колумбия                                     |170|

Коморы                                       |174|

Майотта                                      |175|

Конго                                        |178|

Конго, Демократическая республика            |180|

Острова Кука                                 |184|

Коста-Рика                                   |188|

Хорватия                                     |191|

Куба                                         |192|

Кипр                                         |196|

Чешская республика                           |203|

Бенин                                        |204|

Дания                                        |208|

Доминика                                     |212|

Доминиканская республика                     |214|

Эквадор                                      |218|

Эль-Сальвадор                                |222|

Экваториальная Гвинея                        |226|

Эфиопия                                      |231|

Эритрея                                      |232|

Эстония                                      |233|

Фарерские острова                            |234|

Фолклендские острова (Мальвинские)           |238|

Южная Джорджия и Южные Сандвичевы острова    |239|

Фиджи                                        |242|

Финляндия                                    |246|

Эландские Острова                            |248|

Франция                                      |250|

Французская Гвиана                           |254|

Французская Полинезия                        |258|

Французские Южные территории                 |260|

Джибути                                      |262|

Габон                                        |266|

Грузия                                       |268|

Гамбия                                       |270|

Палестинская территория, Оккупированная      |275|

Германия                                     |276|

Гана                                         |288|

Гибралтар                                    |292|

Кирибати                                     |296|

Греция                                       |300|

Гренландия                                   |304|

Гренада                                      |308|

Гваделупа                                    |312|

Гуам                                         |316|

Гватемала                                    |320|

Гвинея                                       |324|

Гайана                                       |328|

Гаити                                        |332|

Остров Херд и острова Макдональд             |334|

Папский Престол (государство-город Ватикан)  |336|

Гондурас                                     |340|

Гонконг                                      |344|

